Place ID,Facility,Facility Group,Type,Address Location ID,Location,X Coordinate,Y Coordinate,Latitude,Longitude,Geometry
206,Blucher Poole Wastewater Treatment Plant,Operational Facility,Government Operations,40754,5555 N Bottom RD,3104259,1456757,39.246584,-86.548361,POINT (-86.548365353577 39.246712332583)
2887,Winslow Ballfields Western Trail Head,Parks,Trailhead,,S Highland AVE north of E Winslow RD,3113238,1416807,39.136875,-86.517537,POINT (-86.517542439581 39.136882244509)
5034,Temporary Station 1 HQ,Public Safety,Fire Station,14658,226 S College AVE,3108052,1426994,39.16493017,-86.53560281,POINT (-86.535607992947 39.16493759324)
1738,White Oak Cemetery,Cemetery,Cemetery,42123,1200 W 7th ST,3104457,1428402,39.169052,-86.548152,POINT (-86.548257295392 39.168862104662)
189,Fleet Maintenance,Operational Facility,Government Operations,10159,800 E Miller DR,3111434,1420344,39.146616,-86.52382,POINT (-86.523825245023 39.146623641902)
397,Housing Authority,City Offices,Government Offices,15077,1007 N Summit ST,3104416,1430736,39.175263,-86.548348,POINT (-86.548353348865 39.175270670426)
4078,Bloomington Legal,City Offices,Government Offices,69642,401 N Morton ST STE 220,3107745,1428755,39.16977,-86.536648,POINT (-86.536653270267 39.169777425725)
62,Animal Shelter,City Offices,Government Offices,15379,3410 S Walnut ST,3109106,1411697,39.122961,-86.532054,POINT (-86.532218413939 39.122922682013)
2180,Cascade Trail  East Trail Head,Parks,Trailhead,,E Stone Mill RD at N Old State Road 37,3108932,1442660,39.207926,-86.532163,POINT (-86.532168653058 39.207933110704)
229,Bryan Park,Parks,Community Park,41486,1001 S Henderson ST,3110983,1423465,39.155192,-86.525343,POINT (-86.525347719358 39.155199841512)
2202,Jackson Creek Trail North Trail Head,Parks,Trailhead,,East side of  the S High ST and E Rogers RD Roundabout,3116037,1416630,39.136341,-86.507674,POINT (-86.507679056717 39.136347983268)
4897,Upper Cascades Park Parking Lot,Parking Facility,Parking Lot,,,3106856,1440656,39.2024601,-86.5395293,POINT (-86.539537024146 39.202465678012)
2204,Clear Creek Trail Access Highlands,Parks,Trailhead,,Western end of W Gordon Pike,3103138,1411315,39.121964,-86.553256,POINT (-86.553261293989 39.121971457056)
4890,Olcott Park Shelter,Parks,Park Shelter,,,3114991,1412742,39.1256858,-86.5114459,POINT (-86.51145284149 39.12569178156)
188,Bloomington Fire Station 1 (HQ),Public Safety,Fire Station,33771,300 E 4th ST,3109407,1427159,39.165361,-86.530821,POINT (-86.530825740768 39.165368034843)
3270,Browns Woods,Parks,Nature Park/Preserve,,S Basswood DR behind Canterbury Apartments,3097870,1424787,39.159034,-86.571556,POINT (-86.571561151248 39.159041576411)
15,4th Street Parking Garage,Parking Facility,Parking Garage,17195,105 W 4th ST,3108477,1427116,39.165258,-86.534101,POINT (-86.534106531288 39.1652654847)
1838,Lower Cascades Park,Parks,Community Park,41024,2851 N Old State Road 37,3107538,1438830,39.197182,-86.537293,POINT (-86.537169336951 39.197441245216)
