Place ID,Facility,Facility Group,Type,Address Location ID,Location,X Coordinate,Y Coordinate,Latitude,Longitude,Geometry
2885,RCA Community Park Trail Head,Parks,Trailhead,,West end of W RCA Park DR,3104657,1419554,39.14456,-86.547731,POINT (-86.547736116348 39.144566978129)
2210,BPD Switchyard Substation,Public Safety,Police Station,21093,245 W Grimes LN,3107964,1422670,39.15306,-86.536005,POINT (-86.536010336562 39.153067683351)
1042,Park Ridge Park,Parks,Neighborhood Park,42121,3421 E Longview AVE,3120808,1428172,39.167944,-86.490589,POINT (-86.490594199333 39.167951589685)
2906,Griffy Lake North Shore Trail East Trail Head,Parks,Trailhead,,N Headly RD north of the Griffy Lake Boathouse,3114002,1439997,39.200529,-86.514331,POINT (-86.514336303643 39.20053601542)
1878,Waldron Hill Buskirk Park Playground,Playground,Playground,42119,331 S Washington ST,3109239,1426390,39.1632548,-86.531426,POINT (-86.531434732474 39.163259587053)
2897,Lower Cascades Park Trail Head N Side,Parks,Trailhead,,N of Lower Cascades Park W of Old SR 37,3107578,1438808,39.197373,-86.537023,POINT (-86.537028671028 39.197380183918)
230,Bryan Park Pool,Parks,Swimming Pool,40423,1020 S Woodlawn AVE,3111559,1423342,39.154845,-86.523314,POINT (-86.523319287756 39.154852408829)
2886,Latimer Woods Trail Head,Parks,Trailhead,,North loop of E Stratum Way between 3105 and 3115,3120148,1424327,39.1574,-86.493005,POINT (-86.493010156971 39.157407199124)
3699,Byan Park Pool Shelter,Parks,Park Shelter,68216,1020 S Woodlawn AVE BLDG 2,3111433,1423389,39.154976,-86.523757,POINT (-86.523762568876 39.154983579135)
4081,Bloomington Community and Family Resources,City Offices,Government Offices,69645,401 N Morton ST STE 260,3107754,1428777,39.16983,-86.536616,POINT (-86.536621059974 39.169837676697)
1870,Olcott Park Playground,Playground,Playground,41326,2300 E Canada DR,3115091,1413062,39.126561,-86.511088,POINT (-86.511093257061 39.126568600212)
4996,Switchyard Park Maintenance,Operational Facility,Government Operations,37123,1611 S Rogers ST,3107318,1420584,39.1473439,-86.53832721,POINT (-86.538332393145 39.147351318149)
2203,Jackson Creek Trail South Trail Head,Parks,Trailhead,,300ft east of the east end of E Elliston Dr,3114959,1413225,39.127011,-86.51155,POINT (-86.511554912037 39.127018393953)
1876,Sherwood Oaks Park Playground,Playground,Playground,40822,1600 E Elliston DR,3114398,1414173,39.129625,-86.5135027,POINT (-86.513511363692 39.129630776759)
2196,B-Line Trail South Trail Head,Parks,Trailhead,,W Country Club DR between S Madison ST and S Walnut ST,3108325,1416481,39.136063,-86.534864,POINT (-86.53486928338 39.136070008077)
1272,Southeast Park,Parks,Neighborhood Park,23359,1600 S Sycamore CT,3116961,1421207,39.14889,-86.504314,POINT (-86.504318764366 39.148897787472)
4073,Bloomington City Clerk Office,City Offices,Government Offices,69635,401 N Morton ST STE 110,3107708,1428695,39.169606,-86.53678,POINT (-86.536785042818 39.169613309971)
4853,Bloomington Rail Trail Parking Lot,Parking Facility,Parking Lot,,,3108224,1416367,39.1357517,-86.5352213,POINT (-86.53522776286 39.135758699026)
3274,Crestmont Park,Parks,Neighborhood Park,42117,1209 W 15th ST,3103984,1430861,39.175613,-86.549869,POINT (-86.549874526122 39.175620838703)
1400,Public Safety Training Facility,Public Safety,Public Safety Training Facility,52635,3230 S Walnut ST,3108883,1413252,39.127188,-86.532966,POINT (-86.532971183514 39.127195607827)
1834,Griffy Lake Boathouse,Parks,Recreation Center,50534,3400 N Headley RD,3114344,1439194,39.198318,-86.513142,POINT (-86.513147381654 39.198325535134)
1045,Morton Street Parking Garage,Parking Facility,Parking Garage,44482,220 N Morton ST,3108053,1428134,39.16806,-86.535575,POINT (-86.535580190231 39.16806739673)
1041,Park Ridge East Park,Parks,Neighborhood Park,41403,4421 E Morningside DR,3125365,1428071,39.167584,-86.47452,POINT (-86.474524781115 39.167591444489)
1063,Peoples Park,Parks,Community Park,42120,501 E Kirkwood AVE,3110205,1427677,39.16678,-86.528009,POINT (-86.528000217561 39.166776802069)
2884,Twin Lakes Trail Southern Trail Head,Parks,Trailhead,,N of W Bloomfield Rd around Twin Lakes,3099412,1423084,39.154335,-86.566152,POINT (-86.566157599214 39.154342026637)
